"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Series","Unit","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Crude Oil Price","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NYMEX WTI Future Price","$ per Barrel","65.5375","61.9257894737","62.9660869565","70.1610526316","70.9609090909","70.9695454545","74.4631578947","73.0834782609","63.895","59.1368181818","59.403","62.0865","54.6723809524","59.3878947368","60.7404545455","64.036","63.5309090909","67.5295238095","74.1504761905","72.3586956522","79.6263157895","85.6582608696","94.6314285714","91.7425","92.929047619","95.349","105.42","112.462727273","125.423809524","134.015714286","133.484545455","116.688095238","103.763809524","76.7239130435","57.4410526316","42.0422727273","41.9235","39.2584210526","48.0618181818","49.9495238095","59.2125","69.6954545455","64.2931818182","71.1385714286","69.4680952381","75.8236363636","78.145","74.6031818182","78.4026315789","76.4526315789","81.29","84.5752380952","74.1175","75.4045454545","76.3828571429","76.6668181818","75.5485714286","81.9747619048","84.3147619048","89.2331818182","89.5785","89.7431578947","102.981304348","110.0385","101.356666667","96.2886363636","97.3405","86.3408695652","85.61","86.4280952381","97.1628571429","98.5757142857","100.3185","102.2625","106.205","103.346","94.7159090909","82.4052380952","87.9314285714","94.1608695652","94.5584210526","89.5708695652","86.6894736842","88.192","94.8285714286","95.4472222222","92.7247058824","92.1135","94.7995454545","95.9017647059","104.53952381","106.441578947","106.235","100.742272727","93.7805555556","97.868","94.8566666667","100.675263158","100.5215","102.031428571","101.9095","105.185","102.345454545","95.9263157895","93.0342857143","84.4413636364","75.81","59.2895454545","47.3255","50.7247368421","47.8540909091","54.4331818182","59.372","59.8286363636","50.93","42.889047619","45.507","46.3633333333","42.9226315789","37.3272727273","31.7757894737","30.6165","38.1223809524","41.1247619048","46.7966666667","48.8531818182","44.7995","44.7181818182","45.2257142857","49.94","45.7642857143","52.1657142857","52.6085","53.4621052632","49.6739130435","51.1173684211","48.5395454545","45.1959090909","46.702","48.057826087","49.877","51.4757142857","56.659","57.8905555556","63.7142857143","62.3258823529","62.7719047619","66.3252380952","69.9831818182","67.3228571429","70.5419047619"
"Europe Brent Spot Price","$ per Barrel","62.99","60.21","62.06","70.26","69.78","68.56","73.67","73.23","61.96","57.81","58.76","62.47","53.68","57.56","62.05","67.49","67.21","71.05","76.93","70.76","77.17","82.34","92.41","90.93","92.18","94.99","103.64","109.07","122.8","132.32","132.72","113.24","97.23","71.58","52.45","39.95","43.44","43.32","46.54","50.18","57.3","68.61","64.44","72.51","67.65","72.77","76.66","74.46","76.17","73.75","78.83","84.82","75.95","74.76","75.58","77.04","77.84","82.67","85.28","91.45","96.52","103.72","114.64","123.26","114.99","113.83","116.97","110.22","112.83","109.55","110.77","107.87","110.69","119.33","125.45","119.75","110.34","95.16","102.62","113.36","112.86","111.71","109.06","109.49","112.96","116.05","108.47","102.25","102.56","102.92","107.93","111.28","111.6","109.08","107.79","110.76","108.12","108.9","107.48","107.76","109.54","111.8","106.77","101.61","97.09","87.43","79.44","62.34","47.76","58.1","55.89","59.52","64.08","61.48","56.56","46.52","47.62","48.43","44.27","38.01","30.7","32.18","38.21","41.58","46.74","48.25","44.95","45.84","46.57","49.52","44.73","53.31","54.58","54.87","51.59","52.31","50.33","46.37","48.48","51.7","56.15","57.51","62.71","64.37","69.08","65.32","66.02","72.11","76.98","74.41",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gasoline and Diesel Prices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gasoline - Regular, National","$ per Gallon","2.3139","2.28542857143","2.418","2.76955172414","2.89206666667","2.873","2.97251612903","2.9515483871","2.53293333333","2.2388","2.22633333333","2.30929032258","2.22451612903","2.25432142857","2.55129032258","2.82863333333","3.11848387097","3.0429","2.97","2.78703225806","2.80243333333","2.8016","3.07306666667","3.00463333333","3.04103225806","3.03421428571","3.24703225806","3.44589655172","3.78670967742","4.04966666667","4.05574193548","3.75951612903","3.7137","3.05280645161","2.0977","1.67951612903","1.79535483871","1.92360714286","1.95974193548","2.05093333333","2.29903225806","2.64193333333","2.52790322581","2.61970967742","2.55113333333","2.5574516129","2.64843333333","2.61132258065","2.71390322581","2.65142857143","2.78148387097","2.85466666667","2.84387096774","2.727","2.72674193548","2.73174193548","2.70253333333","2.79925806452","2.86106666667","2.9914516129","3.09612903226","3.17664285714","3.5404516129","3.80456666667","3.90164516129","3.6695","3.65367741935","3.61935483871","3.5852","3.43432258065","3.37503333333","3.25590322581","3.37609677419","3.55944827586","3.83522580645","3.88593333333","3.71074193548","3.48873333333","3.42183870968","3.70241935484","3.82786666667","3.70564516129","3.43622222222","3.29716666667","3.32509090909","3.65947058824","3.69370588235","3.55166666667","3.59352380952","3.60188235294","3.5879047619","3.56263157895","3.50861904762","3.33526086957","3.232125","3.25442105263","3.29823809524","3.35244444444","3.50928571429","3.64014285714","3.65427777778","3.66761904762","3.57916666667","3.45694444444","3.38185","3.15344","2.885","2.50385714286","2.09342857143","2.24320833333","2.43196428571","2.45006666667","2.69393333333","2.77633333333","2.74827586207","2.5962","2.3252173913","2.26279310345","2.14321428571","2.01645833333","1.88776923077","1.72970833333","1.93220689655","2.09612","2.24905","2.33285","2.20338095238","2.15722727273","2.19821052632","2.23486363636","2.16704761905","2.23666666667","2.3273","2.27933333333","2.29813636364","2.3940952381","2.35856521739","2.30838095238","2.26781818182","2.3635","2.61894444444","2.48322727273","2.53136363636","2.45368421053","2.538","2.5577","2.56323809524","2.71847619048","2.89617391304","2.89861111111","2.86247619048"
"Gasoline -Mid Grade, National ","$ per Gallon","2.45656666667","2.42692857143","2.5674516129","2.94044827586","3.07036666667","3.05013333333","3.15570967742","3.13329032258","2.68913333333","2.37663333333","2.36333333333","2.451","2.36132258065","2.39271428571","2.708","3.00253333333","3.31009677419","3.23043333333","3.15267741935","2.95858064516","2.975","2.97466666667","3.26283333333","3.19066666667","3.22925806452","3.22196428571","3.44767741935","3.65913793103","4.02125806452","4.30013333333","4.28729032258","3.92087096774","3.87323333333","3.18406451613","2.19313333333","1.78377419355","1.90661290323","2.04264285714","2.08106451613","2.17773333333","2.44106451613","2.80513333333","2.68429032258","2.78151612903","2.70893333333","2.71538709677","2.81216666667","2.77303225806","2.882","2.81560714286","2.95325806452","3.03076666667","3.01938709677","2.89533333333","2.89490322581","2.90032258065","2.8694","2.9724516129","3.03833333333","3.17703225806","3.28822580645","3.30889285714","3.67441935484","3.94053333333","4.04312903226","3.8104","3.77883870968","3.74687096774","3.7242","3.57541935484","3.52076666667","3.40012903226","3.51003225806","3.69055172414","3.97841935484","4.02446666667","3.8714516129","3.65416666667","3.57070967742","3.84622580645","3.97583333333","3.8814516129","3.60561111111","3.45955555556","3.47836363636","3.81476470588","3.85829411765","3.72327777778","3.76719047619","3.78047058824","3.758","3.73147368421","3.68647619048","3.51656521739","3.4075","3.42868421053","3.4780952381","3.53227777778","3.69157142857","3.81723809524","3.83838888889","3.85304761905","3.77120833333","3.656","3.57995","3.36236","3.09815","2.72457142857","2.31604761905","2.44925","2.6505","2.66156666667","2.90263333333","2.98313333333","2.97606896552","2.85756666667","2.61156521739","2.53196551724","2.41392857143","2.29133333333","2.17173076923","2.00595833333","2.17855172414","2.34052","2.48955","2.58445","2.476","2.42372727273","2.46057894737","2.49586363636","2.443","2.491","2.5841","2.55183333333","2.57463636364","2.65780952381","2.63856521739","2.60228571429","2.55763636364","2.63319565217","2.88055555556","2.76913636364","2.81659090909","2.74926315789","2.8155","2.8455","2.8499047619","2.99628571429","3.17230434783","3.1955","3.15638095238"
"Gasoline -Premium, National","$ per Gallon","2.5459","2.51457142857","2.6604516129","3.04689655172","3.18136666667","3.16046666667","3.27025806452","3.24732258065","2.7865","2.4628","2.4492","2.54003225806","2.44693548387","2.47971428571","2.80616129032","3.11156666667","3.4305483871","3.3479","3.26741935484","3.06635483871","3.0833","3.0826","3.38116666667","3.30613333333","3.34641935484","3.33896428571","3.57270967742","3.79086206897","4.16593548387","4.45456666667","4.43648387097","4.03941935484","3.9902","3.27996774194","2.26043333333","1.84725806452","1.97435483871","2.11532142857","2.15529032258","2.25543333333","2.52832258065","2.90573333333","2.78035483871","2.88119354839","2.80563333333","2.8124516129","2.91316666667","2.8724516129","2.98532258065","2.91685714286","3.05967741935","3.1402","3.12835483871","2.9996","2.99903225806","3.00461290323","2.97286666667","3.07912903226","3.1473","3.29061290323","3.40574193548","3.43903571429","3.8054516129","4.0693","4.17019354839","3.94016666667","3.90648387097","3.87503225806","3.85253333333","3.70732258065","3.65506666667","3.53577419355","3.64661290323","3.8245862069","4.10961290323","4.15743333333","4.00864516129","3.7893","3.70590322581","3.98470967742","4.1154","4.03058064516","3.75788888889","3.61183333333","3.63477272727","3.96517647059","4.01217647059","3.88155555556","3.91785714286","3.93741176471","3.92038095238","3.89573684211","3.85157142857","3.68886956522","3.5838125","3.60463157895","3.64723809524","3.69977777778","3.85633333333","3.98433333333","4.00788888889","4.02228571429","3.94254166667","3.82855555556","3.75395","3.54036","3.2789","2.91147619048","2.50385714286","2.63133333333","2.83382142857","2.84596666667","3.08623333333","3.1719","3.17248275862","3.0637","2.832","2.7534137931","2.64028571429","2.52041666667","2.40461538462","2.23554166667","2.39648275862","2.56504","2.7162","2.81535","2.71447619048","2.662","2.70031578947","2.73681818182","2.68771428571","2.73285714286","2.82445","2.79583333333","2.81840909091","2.89957142857","2.88273913043","2.84785714286","2.80390909091","2.87926086957","3.12338888889","3.01536363636","3.06190909091","2.99568421053","3.06416666667","3.09415","3.09804761905","3.24238095238","3.42008695652","3.4445","3.40666666667"
"Diesel, National","$ per Gallon","2.5678","2.56757142857","2.62935483871","2.8115862069","2.9601","2.95896666667","2.99696774194","3.09980645161","2.87803333333","2.62003333333","2.62846666667","2.69361290323","2.59535483871","2.57392857143","2.73590322581","2.91246666667","2.91261290323","2.9018","2.93851612903","2.93741935484","3.00253333333","3.12723333333","3.4307","3.42686666667","3.41438709677","3.45814285714","3.91922580645","4.13696551724","4.50032258065","4.77783333333","4.7885483871","4.43541935484","4.16863333333","3.721","2.9876","2.55267741935","2.41370967742","2.31525","2.18222580645","2.2689","2.29719354839","2.57153333333","2.57409677419","2.66677419355","2.66366666667","2.70596774194","2.82443333333","2.80061290323","2.88696774194","2.84421428571","2.92183870968","3.04706666667","3.08061290323","2.97853333333","2.95435483871","2.974","2.96303333333","3.07667741935","3.1629","3.25687096774","3.37896774194","3.55160714286","3.91293548387","4.09376666667","4.09816129032","3.969","3.93290322581","3.907","3.8872","3.83006451613","3.95023333333","3.87503225806","3.85964516129","3.94496551724","4.12522580645","4.13723333333","4.01677419355","3.7822","3.70938709677","3.94777419355","4.10796666667","4.10116129032","4.01144444444","3.95283333333","3.90918181818","4.07841176471","4.06711764706","3.94961111111","3.88104761905","3.85276470588","3.85423809524","3.88268421053","3.93261904762","3.87343478261","3.8286875","3.85147368421","3.87033333333","3.95916666667","3.99733333333","3.96361904762","3.93766666667","3.90238095238","3.86741666667","3.81794444444","3.77085","3.65888","3.60965","3.36004761905","2.93019047619","2.83833333333","2.88585714286","2.7982","2.8643","2.86526666667","2.80634482759","2.64533333333","2.52086956522","2.50855172414","2.46217857143","2.34325","2.13907692308","1.9975","2.05386206897","2.11676","2.25165","2.36605","2.35219047619","2.32190909091","2.35794736842","2.40613636364","2.3990952381","2.44171428571","2.52085","2.512","2.51413636364","2.52619047619","2.50960869565","2.47880952381","2.4495","2.52765217391","2.71383333333","2.73245454545","2.8225","2.83673684211","2.93855555556","2.97705","2.94052380952","3.00766666667","3.15017391304","3.18822222222","3.16314285714"
