"Year","Quarter","Type","Customs District","Coal Origin Country","Coal Destination Country","Steam Coal","Steam Revenue","Metallurgical","Metallurgical Revenue","Total","Total Revenue","Coke","Coke Revenue"
"2002","1","Coal Imports","Honolulu, HI","Indonesia","United States","119940","5833497",".",".","119940","5833497",".","."
"2002","2","Coal Imports","Honolulu, HI","Australia","United States","51305","1603689",".",".","51305","1603689",".","."
"2002","2","Coal Imports","Honolulu, HI","Indonesia","United States","115358","5631204",".",".","115358","5631204",".","."
"2002","3","Coal Imports","Honolulu, HI","Australia","United States","27822","858487",".",".","27822","858487",".","."
"2002","3","Coal Imports","Honolulu, HI","Indonesia","United States","180609","9031872",".",".","180609","9031872",".","."
"2002","4","Coal Imports","Honolulu, HI","Australia","United States","32995","1053396",".",".","32995","1053396",".","."
"2002","4","Coal Imports","Honolulu, HI","Indonesia","United States","58473","2977213",".",".","58473","2977213",".","."
"2003","1","Coal Imports","Honolulu, HI","Australia","United States","39683","1184335",".",".","39683","1184335",".","."
"2003","1","Coal Imports","Honolulu, HI","Indonesia","United States","178834","8990546",".",".","178834","8990546",".","."
"2003","2","Coal Imports","Honolulu, HI","Australia","United States","20170","606912",".",".","20170","606912",".","."
"2003","2","Coal Imports","Honolulu, HI","Indonesia","United States","179549","8951277",".",".","179549","8951277",".","."
"2003","3","Coal Imports","Honolulu, HI","Australia","United States","27448","853764",".",".","27448","853764",".","."
"2003","3","Coal Imports","Honolulu, HI","Indonesia","United States","177342","7292900",".",".","177342","7292900",".","."
"2003","4","Coal Imports","Honolulu, HI","Australia","United States","23082","701131",".",".","23082","701131",".","."
"2003","4","Coal Imports","Honolulu, HI","Indonesia","United States","179209","3699339",".",".","179209","3699339",".","."
"2004","1","Coal Imports","Honolulu, HI","Australia","United States","32990","1029793",".",".","32990","1029793",".","."
"2004","1","Coal Imports","Honolulu, HI","Indonesia","United States","176064","3588792",".",".","176064","3588792",".","."
"2004","2","Coal Imports","Honolulu, HI","Australia","United States","33841","1074295",".",".","33841","1074295",".","."
"2004","2","Coal Imports","Honolulu, HI","Indonesia","United States","122116","2318274",".",".","122116","2318274",".","."
"2004","3","Coal Imports","Honolulu, HI","Australia","United States","27784","864222",".",".","27784","864222",".","."
"2004","3","Coal Imports","Honolulu, HI","Indonesia","United States","237538","4575647",".",".","237538","4575647",".","."
"2004","4","Coal Imports","Honolulu, HI","Indonesia","United States","117349","2186283",".",".","117349","2186283",".","."
"2005","1","Coal Imports","Honolulu, HI","Australia","United States","19846","612354",".",".","19846","612354",".","."
"2005","1","Coal Imports","Honolulu, HI","Indonesia","United States","176780","3283050",".",".","176780","3283050",".","."
"2005","2","Coal Imports","Honolulu, HI","Australia","United States","28087","911013",".",".","28087","911013",".","."
"2005","2","Coal Imports","Honolulu, HI","Indonesia","United States","178000","3388451",".",".","178000","3388451",".","."
"2005","3","Coal Imports","Honolulu, HI","Indonesia","United States","179978","3481699",".",".","179978","3481699",".","."
"2005","4","Coal Imports","Honolulu, HI","Australia","United States","24744","790445",".",".","24744","790445",".","."
"2005","4","Coal Imports","Honolulu, HI","Indonesia","United States","241479","4670947",".",".","241479","4670947",".","."
"2006","1","Coal Imports","Honolulu, HI","Australia","United States","19127","583186",".",".","19127","583186",".","."
"2006","1","Coal Imports","Honolulu, HI","Indonesia","United States","179045","3505051",".",".","179045","3505051",".","."
"2006","2","Coal Imports","Honolulu, HI","Indonesia","United States","120696","2377551",".",".","120696","2377551",".","."
"2006","3","Coal Imports","Honolulu, HI","Australia","United States","26375","803902",".",".","26375","803902",".","."
"2006","3","Coal Imports","Honolulu, HI","Indonesia","United States","242203","4623461",".",".","242203","4623461",".","."
"2006","4","Coal Imports","Honolulu, HI","Indonesia","United States","118549","2252284",".",".","118549","2252284",".","."
"2007","1","Coal Imports","Honolulu, HI","Australia","United States","27580","864895",".",".","27580","864895",".","."
"2007","1","Coal Imports","Honolulu, HI","Indonesia","United States","176243","3435907",".",".","176243","3435907",".","."
"2007","2","Coal Imports","Honolulu, HI","Australia","United States","19748","621263",".",".","19748","621263",".","."
"2007","2","Coal Imports","Honolulu, HI","Indonesia","United States","178075","3482341",".",".","178075","3482341",".","."
"2007","3","Coal Imports","Honolulu, HI","Indonesia","United States","168080","3311551",".",".","168080","3311551",".","."
"2007","4","Coal Imports","Honolulu, HI","Australia","United States","18310","593986",".",".","18310","593986",".","."
"2007","4","Coal Imports","Honolulu, HI","Canada","United States","60572","3468444",".",".","60572","3468444",".","."
