"RPT_PERIOD","R_S_NAME","LINE_NUM","PROD_CODE","PROD_NAME","PORT_CODE","PORT_CITY","PORT_STATE","PORT_PADD","GCTRY_CODE","CNTRY_NAME","QUANTITY","SULFUR","APIGRAVITY","PCOMP_RNAM","PCOMP_SITEID","PCOMP_SNAM","PCOMP_STAT","STATE_NAME","PCOMP_PADD"
"1986-01-31","CHEVRON CORP","1","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","584","0.1","25","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-02-28","CHEVRON CORP","1","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","940","VENEZUELA","37","0","0","","","","","",""
"1986-02-28","CHEVRON CORP","2","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","704","0.1","36.2","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-02-28","CHEVRON CORP","3","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","1037","0.1","36.3","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-02-28","HAWAII FUELING FACILITIES CORP","1","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","940","VENEZUELA","37","0","0","","","","","",""
"1986-02-28","PETRO-DIAMOND INC","1","888","MISCELLANEOUS PRODUCTS","3201","HONOLU/PEARL, HA","HAWAII","5","515","KOREA, REPUBLIC OF","28","0","0","","","","","",""
"1986-03-31","CHEVRON CORP","1","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","795","SINGAPORE","9","0","0","","","","","",""
"1986-03-31","CHEVRON CORP","2","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","1023","0.1","36.4","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-04-30","CHEVRON CORP","1","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","1077","0.1","36.4","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-04-30","PACIFIC FUEL TRADG CORP","1","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","795","SINGAPORE","20","0","0","","","","","",""
"1986-05-31","CHEVRON CORP","1","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","1065","0.1","36.2","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-05-31","HAWAII FUELING FACILITIES CORP","1","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","795","SINGAPORE","80","0","0","","","","","",""
"1986-06-30","CHEVRON CORP","1","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","795","SINGAPORE","79","0","0","","","","","",""
"1986-06-30","CHEVRON CORP","2","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","795","SINGAPORE","114","0","0","","","","","",""
"1986-06-30","CHEVRON CORP","3","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","582","0.1","34.8","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-07-31","ASTROLINE CORP","1","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","795","SINGAPORE","228","0","0","","","","","",""
"1986-07-31","CHEVRON CORP","1","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","1106","0.1","34.8","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-07-31","CHEVRON CORP","2","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","195","0.1","34.8","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-07-31","PACIFIC FUEL TRADG CORP","1","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","515","KOREA, REPUBLIC OF","40","0","0","","","","","",""
"1986-07-31","PETRO-DIAMOND INC","1","134","MOTOR GAS BLENDING COMPONENTS","3201","HONOLU/PEARL, HA","HAWAII","5","515","KOREA, REPUBLIC OF","28","0","0","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-08-31","CHEVRON CORP","1","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","1078","0.1","36.1","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-08-31","CHEVRON CORP","2","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","575","0.1","36.1","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-08-31","PETRO-DIAMOND INC","1","134","MOTOR GAS BLENDING COMPONENTS","3201","HONOLU/PEARL, HA","HAWAII","5","490","JAPAN","36","0","0","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-09-30","CHEVRON CORP","1","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","490","JAPAN","103","0","0","","","","","",""
"1986-09-30","PACIFIC FUEL TRADG CORP","1","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","515","KOREA, REPUBLIC OF","65","0","0","","","","","",""
"1986-09-30","SAN DIEGO GAS & ELEC CO","1","508","RESIDUAL FUEL, < 0.31% SULFUR","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","460","0.11","0","","","","","",""
"1986-10-31","CHEVRON CORP","1","020","CRUDE OIL","3201","HONOLU/PEARL, HA","HAWAII","5","458","INDONESIA","732","0.1","36.3","CHEVRON USA INC","","HONOLULU","HI","HAWAII","5"
"1986-10-31","CHEVRON CORP","2","509","RESIDUAL FUEL, 0.31-1.00% SULFUR","3201","HONOLU/PEARL, HA","HAWAII","5","580","MALAYSIA","265","1","0","","","","","",""
"1986-10-31","PACIFIC FUEL TRADG CORP","1","213","JET FUEL, KEROSENE-TYPE","3201","HONOLU/PEARL, HA","HAWAII","5","078","VIRGIN ISLANDS, U.S.","63","0","0","","","","","",""
