"Sourcekey","EER_EPJK_PF4_RGC_DPG"
"Date","U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)"
"1990-04-15","0.54"
"1990-05-15","0.515"
"1990-06-15","0.494"
"1990-07-15","0.535"
"1990-08-15","0.791"
"1990-09-15","1.012"
"1990-10-15","1.196"
"1990-11-15","0.971"
"1990-12-15","0.803"
"1991-01-15","0.741"
"1991-02-15","0.637"
"1991-03-15","0.558"
"1991-04-15","0.552"
"1991-05-15","0.569"
"1991-06-15","0.547"
"1991-07-15","0.586"
"1991-08-15","0.623"
"1991-09-15","0.635"
"1991-10-15","0.671"
"1991-11-15","0.645"
"1991-12-15","0.522"
"1992-01-15","0.509"
"1992-02-15","0.543"
"1992-03-15","0.514"
"1992-04-15","0.543"
"1992-05-15","0.579"
"1992-06-15","0.615"
"1992-07-15","0.611"
"1992-08-15","0.59"
"1992-09-15","0.623"
"1992-10-15","0.621"
"1992-11-15","0.561"
"1992-12-15","0.544"
"1993-01-15","0.534"
"1993-02-15","0.553"
"1993-03-15","0.558"
"1993-04-15","0.551"
"1993-05-15","0.553"
"1993-06-15","0.526"
"1993-07-15","0.494"
"1993-08-15","0.501"
"1993-09-15","0.535"
"1993-10-15","0.568"
"1993-11-15","0.533"
"1993-12-15","0.446"
"1994-01-15","0.528"
"1994-02-15","0.501"
"1994-03-15","0.451"
"1994-04-15","0.469"
"1994-05-15","0.472"
"1994-06-15","0.493"
"1994-07-15","0.509"
"1994-08-15","0.498"
"1994-09-15","0.49"
"1994-10-15","0.509"
"1994-11-15","0.513"
"1994-12-15","0.487"
"1995-01-15","0.472"
"1995-02-15","0.467"
"1995-03-15","0.449"
"1995-04-15","0.5"
"1995-05-15","0.511"
"1995-06-15","0.478"
"1995-07-15","0.467"
"1995-08-15","0.496"
"1995-09-15","0.513"
"1995-10-15","0.502"
"1995-11-15","0.524"
"1995-12-15","0.553"
"1996-01-15","0.55"
"1996-02-15","0.557"
"1996-03-15","0.586"
"1996-04-15","0.617"
"1996-05-15","0.557"
"1996-06-15","0.516"
"1996-07-15","0.556"
"1996-08-15","0.615"
"1996-09-15","0.682"
"1996-10-15","0.703"
"1996-11-15","0.696"
"1996-12-15","0.693"
"1997-01-15","0.68"
"1997-02-15","0.619"
"1997-03-15","0.557"
"1997-04-15","0.541"
"1997-05-15","0.549"
"1997-06-15","0.523"
"1997-07-15","0.536"
"1997-08-15","0.559"
"1997-09-15","0.541"
"1997-10-15","0.571"
"1997-11-15","0.549"
"1997-12-15","0.496"
"1998-01-15","0.476"
"1998-02-15","0.449"
"1998-03-15","0.413"
"1998-04-15","0.426"
"1998-05-15","0.416"
"1998-06-15","0.389"
"1998-07-15","0.386"
"1998-08-15","0.372"
"1998-09-15","0.42"
"1998-10-15","0.42"
"1998-11-15","0.371"
"1998-12-15","0.304"
