"Sourcekey","EER_EPLLPA_PF4_Y44MB_DPG"
"Date","Mont Belvieu, TX Propane Spot Price FOB (Dollars per Gallon)"
"1992-06-15","0.344"
"1992-07-15","0.342"
"1992-08-15","0.354"
"1992-09-15","0.375"
"1992-10-15","0.354"
"1992-11-15","0.327"
"1992-12-15","0.312"
"1993-01-15","0.337"
"1993-02-15","0.33"
"1993-03-15","0.342"
"1993-04-15","0.344"
"1993-05-15","0.328"
"1993-06-15","0.328"
"1993-07-15","0.314"
"1993-08-15","0.305"
"1993-09-15","0.299"
"1993-10-15","0.293"
"1993-11-15","0.275"
"1993-12-15","0.245"
"1994-01-15","0.263"
"1994-02-15","0.29"
"1994-03-15","0.284"
"1994-04-15","0.289"
"1994-05-15","0.296"
"1994-06-15","0.288"
"1994-07-15","0.292"
"1994-08-15","0.3"
"1994-09-15","0.299"
"1994-10-15","0.324"
"1994-11-15","0.344"
"1994-12-15","0.333"
"1995-01-15","0.327"
"1995-02-15","0.316"
"1995-03-15","0.327"
"1995-04-15","0.323"
"1995-05-15","0.327"
"1995-06-15","0.318"
"1995-07-15","0.308"
"1995-08-15","0.313"
"1995-09-15","0.313"
"1995-10-15","0.309"
"1995-11-15","0.31"
"1995-12-15","0.354"
"1996-01-15","0.354"
"1996-02-15","0.39"
"1996-03-15","0.369"
"1996-04-15","0.356"
"1996-05-15","0.348"
"1996-06-15","0.348"
"1996-07-15","0.356"
"1996-08-15","0.384"
"1996-09-15","0.47"
"1996-10-15","0.513"
"1996-11-15","0.583"
"1996-12-15","0.608"
"1997-01-15","0.474"
"1997-02-15","0.386"
"1997-03-15","0.385"
"1997-04-15","0.349"
"1997-05-15","0.353"
"1997-06-15","0.344"
"1997-07-15","0.348"
"1997-08-15","0.369"
"1997-09-15","0.387"
"1997-10-15","0.398"
"1997-11-15","0.36"
"1997-12-15","0.336"
"1998-01-15","0.302"
"1998-02-15","0.298"
"1998-03-15","0.275"
"1998-04-15","0.291"
"1998-05-15","0.274"
"1998-06-15","0.245"
"1998-07-15","0.246"
"1998-08-15","0.241"
"1998-09-15","0.249"
"1998-10-15","0.257"
"1998-11-15","0.248"
"1998-12-15","0.209"
"1999-01-15","0.217"
"1999-02-15","0.224"
"1999-03-15","0.242"
"1999-04-15","0.282"
"1999-05-15","0.283"
"1999-06-15","0.309"
"1999-07-15","0.372"
"1999-08-15","0.406"
"1999-09-15","0.432"
"1999-10-15","0.454"
"1999-11-15","0.436"
"1999-12-15","0.428"
"2000-01-15","0.555"
"2000-02-15","0.596"
"2000-03-15","0.512"
"2000-04-15","0.469"
"2000-05-15","0.512"
"2000-06-15","0.555"
"2000-07-15","0.551"
"2000-08-15","0.583"
"2000-09-15","0.643"
"2000-10-15","0.62"
"2000-11-15","0.608"
"2000-12-15","0.775"
"2001-01-15","0.774"
"2001-02-15","0.593"
"2001-03-15","0.558"
"2001-04-15","0.547"
"2001-05-15","0.513"
"2001-06-15","0.431"
"2001-07-15","0.39"
"2001-08-15","0.415"
"2001-09-15","0.421"
"2001-10-15","0.395"
"2001-11-15","0.331"
"2001-12-15","0.301"
"2002-01-15","0.291"
"2002-02-15","0.313"
"2002-03-15","0.38"
"2002-04-15","0.415"
"2002-05-15","0.406"
"2002-06-15","0.375"
"2002-07-15","0.372"
"2002-08-15","0.415"
"2002-09-15","0.471"
"2002-10-15","0.479"
"2002-11-15","0.472"
"2002-12-15","0.523"
"2003-01-15","0.606"
"2003-02-15","0.775"
"2003-03-15","0.623"
"2003-04-15","0.504"
"2003-05-15","0.541"
"2003-06-15","0.559"
"2003-07-15","0.53"
"2003-08-15","0.548"
"2003-09-15","0.519"
"2003-10-15","0.553"
"2003-11-15","0.547"
"2003-12-15","0.628"
"2004-01-15","0.745"
"2004-02-15","0.704"
"2004-03-15","0.585"
"2004-04-15","0.607"
"2004-05-15","0.677"
"2004-06-15","0.67"
"2004-07-15","0.741"
"2004-08-15","0.837"
"2004-09-15","0.802"
"2004-10-15","0.906"
"2004-11-15","0.863"
"2004-12-15","0.774"
"2005-01-15","0.737"
"2005-02-15","0.758"
"2005-03-15","0.878"
"2005-04-15","0.854"
"2005-05-15","0.797"
"2005-06-15","0.818"
"2005-07-15","0.845"
"2005-08-15","0.941"
"2005-09-15","1.13"
"2005-10-15","1.137"
"2005-11-15","0.999"
"2005-12-15","1.056"
"2006-01-15","0.989"
"2006-02-15","0.919"
"2006-03-15","0.926"
"2006-04-15","1.016"
"2006-05-15","1.041"
"2006-06-15","1.097"
"2006-07-15","1.165"
"2006-08-15","1.138"
"2006-09-15","1.012"
"2006-10-15","0.938"
"2006-11-15","0.954"
"2006-12-15","0.966"
"2007-01-15","0.893"
"2007-02-15","0.975"
"2007-03-15","1.037"
"2007-04-15","1.108"
"2007-05-15","1.149"
"2007-06-15","1.139"
"2007-07-15","1.19"
"2007-08-15","1.186"
"2007-09-15","1.295"
"2007-10-15","1.432"
"2007-11-15","1.556"
"2007-12-15","1.529"
"2008-01-15","1.506"
"2008-02-15","1.425"
"2008-03-15","1.475"
"2008-04-15","1.59"
"2008-05-15","1.7"
"2008-06-15","1.813"
"2008-07-15","1.862"
"2008-08-15","1.651"
"2008-09-15","1.53"
"2008-10-15","1.045"
"2008-11-15","0.738"
"2008-12-15","0.61"
"2009-01-15","0.727"
"2009-02-15","0.659"
"2009-03-15","0.653"
"2009-04-15","0.638"
"2009-05-15","0.701"
"2009-06-15","0.846"
"2009-07-15","0.752"
"2009-08-15","0.906"
"2009-09-15","0.946"
"2009-10-15","1.008"
"2009-11-15","1.076"
"2009-12-15","1.19"
"2010-01-15","1.312"
"2010-02-15","1.284"
"2010-03-15","1.136"
"2010-04-15","1.137"
"2010-05-15","1.082"
"2010-06-15","1.037"
"2010-07-15","1.01"
"2010-08-15","1.072"
"2010-09-15","1.132"
"2010-10-15","1.234"
"2010-11-15","1.254"
"2010-12-15","1.296"
"2011-01-15","1.348"
"2011-02-15","1.379"
"2011-03-15","1.397"
"2011-04-15","1.454"
"2011-05-15","1.521"
"2011-06-15","1.52"
"2011-07-15","1.528"
"2011-08-15","1.528"
"2011-09-15","1.56"
"2011-10-15","1.472"
"2011-11-15","1.458"
"2011-12-15","1.395"
"2012-01-15","1.294"
"2012-02-15","1.22"
"2012-03-15","1.261"
"2012-04-15","1.196"
"2012-05-15","0.954"
"2012-06-15","0.788"
"2012-07-15","0.874"
"2012-08-15","0.901"
"2012-09-15","0.91"
"2012-10-15","0.962"
"2012-11-15","0.89"
"2012-12-15","0.797"
"2013-01-15","0.838"
"2013-02-15","0.862"
"2013-03-15","0.895"
"2013-04-15","0.939"
"2013-05-15","0.932"
"2013-06-15","0.863"
"2013-07-15","0.92"
"2013-08-15","1.061"
"2013-09-15","1.107"
"2013-10-15","1.136"
"2013-11-15","1.181"
"2013-12-15","1.275"
"2014-01-15","1.395"
"2014-02-15","1.443"
"2014-03-15","1.064"
"2014-04-15","1.101"
"2014-05-15","1.043"
"2014-06-15","1.046"
"2014-07-15","1.036"
"2014-08-15","1.018"
"2014-09-15","1.062"
"2014-10-15","0.936"
"2014-11-15","0.802"
"2014-12-15","0.558"
"2015-01-15","0.478"
"2015-02-15","0.573"
"2015-03-15","0.542"
"2015-04-15","0.548"
"2015-05-15","0.47"
"2015-06-15","0.369"
"2015-07-15","0.409"
"2015-08-15","0.374"
"2015-09-15","0.453"
"2015-10-15","0.451"
"2015-11-15","0.43"
"2015-12-15","0.387"
"2016-01-15","0.336"
"2016-02-15","0.375"
"2016-03-15","0.452"
"2016-04-15","0.457"
"2016-05-15","0.516"
"2016-06-15","0.507"
"2016-07-15","0.478"
"2016-08-15","0.449"
"2016-09-15","0.495"
"2016-10-15","0.573"
"2016-11-15","0.538"
"2016-12-15","0.637"
"2017-01-15","0.747"
"2017-02-15","0.768"
"2017-03-15","0.615"
"2017-04-15","0.651"
"2017-05-15","0.64"
"2017-06-15","0.59"
"2017-07-15","0.647"
"2017-08-15","0.758"
"2017-09-15","0.883"
"2017-10-15","0.934"
"2017-11-15","0.98"
"2017-12-15","0.957"
"2018-01-15","0.904"
"2018-02-15","0.827"
"2018-03-15","0.788"
"2018-04-15","0.821"
"2018-05-15","0.917"
"2018-06-15","0.88"
"2018-07-15","0.938"
"2018-08-15","0.974"
