"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","1","...","All industry total",37655,37585,39224,41472,43089,45581,49136,53755,58573,62054,65210,66692,65382,68225,70017,72532,74630,76835,80599,83917
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","2","..."," Private industries",29877,29587,30783,32851,34152,35880,38638,42440,46529,49272,51801,52462,50685,52902,54023,56180,58342,59906,63171,66219
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","3","11","  Agriculture, forestry, fishing, and hunting",337,332,358,355,352,377,416,418,422,444,408,399,386,411,444,425,422,419,406,365
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","4","111-112","   Farms",282,281,300,300,302,324,359,367,375,385,355,347,330,353,375,347,341,335,318,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","5","113-115","   Forestry, fishing, and related activities",55,51,58,55,50,53,57,52,47,59,53,52,56,59,69,78,81,84,88,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","6","21","  Mining",35,35,39,41,38,34,38,40,42,64,94,98,110,90,75,84,77,78,93,74
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","7","211","   Oil and gas extraction",0,0,0,0,0,0,0,0,0,0,0,"(L)","(L)","(L)",1,1,1,1,1,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","8","212","   Mining, except oil and gas",35,35,39,41,38,34,38,40,41,64,93,97,109,89,74,83,75,77,92,"(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","9","213","   Support activities for mining",0,0,0,0,0,0,"(L)","(L)","(L)","(L)",1,1,1,"(L)","(L)",1,1,"(L)","(L)","(NA)"
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","10","22","  Utilities",863,795,867,920,908,841,923,1042,1066,1263,1297,1436,1400,1630,1852,1517,1562,1598,1485,1391
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","11","23","  Construction",1680,1655,1686,1956,2075,2267,2632,3037,3849,4216,4733,4660,4261,3812,3707,3839,3925,4198,4744,5291
"15000","Hawaii","8","200","Gross domestic product (GDP) by state","12","31-33","  Manufacturing",757,727,801,828,925,977,1109,1101,1158,1199,1222,1374,1334,1286,1288,1396,1487,1715,1766,1780
