"DATE","A191RD3A086NBEA"
"1929-01-01","9.424"
"1930-01-01","9.079"
"1931-01-01","8.146"
"1932-01-01","7.193"
"1933-01-01","6.993"
"1934-01-01","7.376"
"1935-01-01","7.528"
"1936-01-01","7.62"
"1937-01-01","7.947"
"1938-01-01","7.72"
"1939-01-01","7.644"
"1940-01-01","7.736"
"1941-01-01","8.258"
"1942-01-01","8.915"
"1943-01-01","9.323"
"1944-01-01","9.544"
"1945-01-01","9.791"
"1946-01-01","11.054"
"1947-01-01","12.267"
"1948-01-01","12.956"
"1949-01-01","12.935"
"1950-01-01","13.095"
"1951-01-01","14.024"
"1952-01-01","14.266"
"1953-01-01","14.439"
"1954-01-01","14.573"
"1955-01-01","14.819"
"1956-01-01","15.324"
"1957-01-01","15.832"
"1958-01-01","16.192"
"1959-01-01","16.414"
"1960-01-01","16.638"
"1961-01-01","16.815"
"1962-01-01","17.02"
"1963-01-01","17.215"
"1964-01-01","17.477"
"1965-01-01","17.798"
"1966-01-01","18.296"
"1967-01-01","18.827"
"1968-01-01","19.628"
"1969-01-01","20.591"
"1970-01-01","21.677"
"1971-01-01","22.776"
"1972-01-01","23.761"
"1973-01-01","25.063"
"1974-01-01","27.318"
"1975-01-01","29.849"
"1976-01-01","31.491"
"1977-01-01","33.448"
"1978-01-01","35.801"
"1979-01-01","38.771"
"1980-01-01","42.273"
"1981-01-01","46.273"
"1982-01-01","49.132"
"1983-01-01","51.056"
"1984-01-01","52.898"
"1985-01-01","54.571"
"1986-01-01","55.67"
"1987-01-01","57.046"
"1988-01-01","59.059"
"1989-01-01","61.374"
"1990-01-01","63.671"
"1991-01-01","65.825"
"1992-01-01","67.325"
"1993-01-01","68.92"
"1994-01-01","70.392"
"1995-01-01","71.868"
"1996-01-01","73.183"
"1997-01-01","74.445"
"1998-01-01","75.283"
"1999-01-01","76.37"
"2000-01-01","78.078"
"2001-01-01","79.79"
"2002-01-01","81.052"
"2003-01-01","82.557"
"2004-01-01","84.78"
"2005-01-01","87.421"
"2006-01-01","90.066"
"2007-01-01","92.486"
"2008-01-01","94.285"
"2009-01-01","95.004"
"2010-01-01","96.111"
"2011-01-01","98.118"
"2012-01-01","100.0"
"2013-01-01","101.755"
"2014-01-01","103.68"
"2015-01-01","104.789"
"2016-01-01","105.935"
"2017-01-01","107.948"
