"Metric 1: Fossil energy content of Hawaii fuel use (BTU) per capita","","","","","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Graph Inputs: Life Cycle Analysis Comparison","GSP (millions)","/GSP","","","Notes","0","0","0","0","0","","","","","18411.6914866","19414.1001986","19914.5684634","20690.9560689","22166.4749614","22868.2631949","23947.6260097","23681.7985674","24691.3774731","25679.0684895","26793.7480225","27705.672925","27726.6990111","28068.2087309","29610.0949699","31696.4823674","33266.771678","35307.8647835","37246.3929264","39731.4793085","41994.7658831","44772.164042","45758.9110378","47046.125239","46719.5066233","46571.3712069","46068.6856772","45676.0961856","46013.7985762","44302.3122006","45186.9836523","46562.2780217","46704.3025663","48401.7807996","50998.2787099","53967.1466558","56901.0","59173.9181743","60552.165744","61160.6428218","59597.8869735","61145.5431596","62319.9473719","63332.4871405","63825.8524765","64527.7136688","","","","","","","","","","","","","","","",""
"","Ground/Water Transportation Petroleum excluding life-cycle","Ground/Water Transportation","Petroleum","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2465.00980277","2297.91746944","2339.64396896","2150.35979255","2135.11620961","1941.77404823","1941.57032439","2161.78681929","2307.89068216","2349.85159313","2600.49471024","2398.93108462","2416.51557487","2132.91131521","1844.47230094","1766.34742465","2034.1318555","1945.82709607","1570.40710266","1820.94906254","1872.47144606","1834.15302247","1908.34960928","1836.41053458","1690.79268403","1830.75992376","1751.68878412","1391.55937806","1275.63908689","1294.98884257","1528.47113079","1534.52543638","1741.42414148","1700.3093407","1780.31498899","1780.26829198","1517.0207905","1596.801478","2027.78874201","1255.349788","1366.40750428","1339.4762033","1346.00562962","1227.77429895","1203.85387768","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Ground/Water Transportation Petroleum including life-cycle","Ground/Water Transportation","Petroleum","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","8333.43119718","7918.46395884","8542.76098982","8083.39386092","7790.67228511","6903.83105386","6691.32870883","6834.24874063","7038.32930356","6928.21457576","7185.01287937","6522.10382961","5532.98835157","4512.59357655","4908.14553499","5025.34595372","5294.94662466","4451.01972468","4113.31820428","4379.682372","4540.90342526","4257.42596988","4087.83732976","3792.98864939","3463.93188932","3728.26971524","3715.68328387","3295.48125726","3148.39214953","3220.4335404","3397.09737098","3358.52965846","3518.12515489","3601.41222086","3975.31881495","3960.42809844","3901.11349602","3803.60623384","4017.10458083","2801.98541579","2804.15763999","2811.05150413","2922.23788644","2788.19940384","2739.16487164","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","Total","Total","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","12646.2750866","12398.2135149","13003.1545454","12888.5799449","12379.1393486","11349.4623942","10960.7066517","11379.1394743","11594.8872644","11337.1621885","11776.2507048","11326.2706472","10147.9373431","9222.05059903","8775.29623065","8589.62354596","8802.43823708","8130.17106003","7782.23852529","8506.67891616","8394.86810473","8219.8995871","7354.79496497","7446.58107504","6844.6555275","7362.92660647","7385.18789209","7082.14117175","6797.06316852","7135.45784297","6893.18062741","6842.68689417","6924.59952852","7106.45226993","7096.0227783","7005.56524606","6871.53474159","6647.21821096","6735.89441635","5406.92414935","5456.24355439","5320.69380204","5382.74781881","5102.24884708","4934.8247204","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","pre life cycle input","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","2465.00980277","2297.91746944","2339.64396896","2150.35979255","2135.11620961","1941.77404823","1941.57032439","2161.78681929","2307.89068216","2349.85159313","2600.49471024","2398.93108462","2416.51557487","2132.91131521","1844.47230094","1766.34742465","2034.1318555","1945.82709607","1570.40710266","1820.94906254","1872.47144606","1834.15302247","1908.34960928","1836.41053458","1690.79268403","1830.75992376","1751.68878412","1391.55937806","1275.63908689","1294.98884257","1528.47113079","1534.52543638","1741.42414148","1700.3093407","1780.31498899","1780.26829198","1517.0207905","1596.801478","2027.78874201","1255.349788","1366.40750428","1339.4762033","1346.00562962","1227.77429895","1203.85387768","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","post life cycle input","","Notes","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","8333.43119718","7918.46395884","8542.76098982","8083.39386092","7790.67228511","6903.83105386","6691.32870883","6834.24874063","7038.32930356","6928.21457576","7185.01287937","6522.10382961","5532.98835157","4512.59357655","4908.14553499","5025.34595372","5294.94662466","4451.01972468","4113.31820428","4379.682372","4540.90342526","4257.42596988","4087.83732976","3792.98864939","3463.93188932","3728.26971524","3715.68328387","3295.48125726","3148.39214953","3220.4335404","3397.09737098","3358.52965846","3518.12515489","3601.41222086","3975.31881495","3960.42809844","3901.11349602","3803.60623384","4017.10458083","2801.98541579","2804.15763999","2811.05150413","2922.23788644","2788.19940384","2739.16487164","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Graph Inputs: Column Chart","Ground/Water Transportation Petroleum","Ground/Water Transportation","Petroleum","ROWCOL","Notes","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77"
"","","","Total","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Residential","118","Notes","123.992335421","162.434816923","214.488077169","208.302521645","220.699198597","243.01321711","275.257360136","366.979986628","417.819145082","880.240761287","953.406721206","1117.01729107","1020.32321084","1053.79423861","1016.57864185","680.62869646","1067.40501736","1120.7235112","1056.273574","1578.25037138","914.951456752","864.12508125","807.023669562","958.31426018","197.15829534","214.488077169","205.835969206","256.662344709","293.764506934","296.234269189","271.159007111","278.845724165","874.026323755","198.716056783","202.311896743","194.85190326","226.990445539","421.221388147","1196.61907608","679.967381389","929.393145851","939.344972459","942.728901619","700.139505096","713.861465101","725.646791444","765.801685732","620.553822144","1290.92971851","1160.98907605","1145.41457743","1096.57315615","1585.40855229","1055.5522972","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","Commercial","125","Notes","1393.04152679","1678.72898407","1685.01861674","1659.24556674","1887.29822714","1824.30098614","2029.47873955","2107.39309293","2466.15683941","3614.12146734","4620.27956599","3977.45405282","3669.54152693","3734.7497852","3213.82213635","2819.37918487","3871.60677312","4461.82257811","4293.03993296","5338.39025727","4953.17656538","3530.63363579","2949.86027933","2702.52147028","1644.23033942","1799.76703305","2519.92441236","4126.98908316","18645.0012252","15844.7659839","10561.956304","5373.49684297","13566.2378104","3672.02407616","6600.42517664","3366.96358811","2177.89893269","3711.46456541","16936.1466656","3133.82563881","3267.27263572","2660.75199968","3891.89969201","3292.17685238","4071.21802982","4105.33234346","4172.55761116","3205.48094603","3620.13151155","4643.67847816","4557.04175357","5369.62849213","4694.26053263","4827.4492058","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
