"Metric 10:","","","","","Notes","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"RPS Chart Title","Renewable Electricity Generated in 2015","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Renewable Generation as Percent of Total Sales in 2015","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Line Graph Input 1","","","Total","","Notes","0.140685946105","0.175069685961","0.156667174115","0.129793727507","0.165501115749","0.175089079901","0.169517031403","0.204137387828","0.222782315884","0.234702545853","0.237635646443","0.237004899189","0.297679064526","0.345024369608","0.452207177191","0.532673712018","0.585495074013","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","HECO","","Notes","0.0908535230051","0.112659456461","0.104095094132","0.110622462788","0.122374368519","0.119423251002","0.10795233778","0.128392416569","0.10674267101","0.120108465342","0.128531378426","0.118454771727","0.167358872051","0.19024272663","0.29197521162","0.379357429186","0.429232584201","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","HELCO","","Notes","0.704989154013","0.81498951782","0.714285714286","0.309045226131","0.517208413002","0.592105263158","0.603401969561","0.642297650131","0.845012897678","0.884038982323","0.843236915351","0.864182457291","1.02700367534","1.16816151556","1.20196328608","1.18383542537","1.21693816123","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","MECO","","Notes","0.129107981221","0.101717902351","0.0837742504409","0.148835202761","0.136702568351","0.14875701684","0.150559105431","0.270339652449","0.3861328125","0.346846988609","0.347737415946","0.383027613404","0.428165849016","0.520423520656","0.727101182247","0.842164610231","0.885243884215","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","KIUC","","Notes","0.0","0.0","0.0","0.0","0.145612259782","0.199732690326","0.199745833311","0.195941117045","0.137948410347","0.205314919027","0.227758304326","0.221020509585","0.264811181181","0.31203186936","0.40625204676","0.526871863584","0.682828100482","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","year","2015","","","Notes","Renewable Electricity","Total Electricity Sales","Total Conventional","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total Renewable","HECORenewable Electricity","HECO","","Notes","1159629","6754083","5594454","0.171693033681","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","HELCORenewable Electricity","HELCO","","Notes","518311","1064785","546474","0.48677526449","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MECORenewable Electricity","MECO","","Notes","402832","1137630","734798","0.354097553686","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","KIUCRenewable Electricity","KIUC","","Notes","118014","432078","314064","0.273131240193","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","TotalRenewable Electricity","Total","","Notes","2198786","9388576","7189790","0.234198029605","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Line Graph Input Final","","Total","HECO","","Notes","0.0908535230051","0.112659456461","0.104095094132","0.110622462788","0.122374368519","0.119423251002","0.10795233778","0.128392416569","0.10674267101","0.120108465342","0.128531378426","0.118454771727","0.167358872051","0.19024272663","0.29197521162","0.379357429186","0.429232584201","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","HELCO","","Notes","0.704989154013","0.81498951782","0.714285714286","0.309045226131","0.517208413002","0.592105263158","0.603401969561","0.642297650131","0.845012897678","0.884038982323","0.843236915351","0.864182457291","1.02700367534","1.16816151556","1.20196328608","1.18383542537","1.21693816123","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","MECO","","Notes","0.129107981221","0.101717902351","0.0837742504409","0.148835202761","0.136702568351","0.14875701684","0.150559105431","0.270339652449","0.3861328125","0.346846988609","0.347737415946","0.383027613404","0.428165849016","0.520423520656","0.727101182247","0.842164610231","0.885243884215","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","KIUC","","Notes","0.0","0.0","0.0","0.0","0.145612259782","0.199732690326","0.199745833311","0.195941117045","0.137948410347","0.205314919027","0.227758304326","0.221020509585","0.264811181181","0.31203186936","0.40625204676","0.526871863584","0.682828100482","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","Total","","Notes","0.140685946105","0.175069685961","0.156667174115","0.129793727507","0.165501115749","0.175089079901","0.169517031403","0.204137387828","0.222782315884","0.234702545853","0.237635646443","0.237004899189","0.297679064526","0.345024369608","0.452207177191","0.532673712018","0.585495074013","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
