"Metric 12: Local Fuel","","","Units","Source","Notes","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Line Graph Input 1","","","Hydro","","Notes","0","0","0","0","25490","12001","115000","19628","-34357","-60191","29257","-36733","20328","13555","-30472","11940","21298","-17367","-28337","-61040","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Geothermal","","Notes","0","0","0","0","0","0","221000","-9000","18000","4334","-66743","33996","31319","33328","15183","-26390","-24532","29621","62493","-322609","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Wind ","","Notes","0","0","0","0","0","0","7000","75000","160400","-5107","13062","10851","83170","43880","115292","74319","34914","43897","-123804","-532874","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Biomass ","","Notes","0","0","0","0","0","0","333000","62000","-69000","86598","-13843","-39903","6414","-23476","73901","17473","-16448","6402","-41980","-381138","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Solar ","","Notes","0","0","0","0","66","24","-90","0","7914","6350","22147","20107","39062","111830","194709","191110","102828","155401","155873","-1007331","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Biofuels ","","Notes","0","0","0","0","0","257","152","-86","110","1106","3338","-1717","56094","-36647","7182","7304","16319","-14937","17507","-55982","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Total","","Notes","0","39000","-66000","-96000","157156","61782","-21906","149103","79374","33090","-12782","-13399","237855","141025","388269","285601","194631","267224","59813","-2525836","0","0","0","0","0","0","0","0","0","0","0","0"
"Line Graph Input Final","","","Hydro","","Notes","0","0","0","0","25490","37491","152491","172119","137762","77571","106828","70095","90423","103978","73506","85446","106744","89377","61040","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Geothermal","","Notes","0","0","0","0","0","0","221000","212000","230000","234334","167591","201587","232906","266234","281417","255027","230495","260116","322609","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Wind ","","Notes","0","0","0","0","0","0","7000","82000","242400","237293","250355","261206","344376","388256","503548","577867","612781","656678","532874","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Biomass ","","Notes","0","0","0","0","0","0","333000","395000","326000","412598","398755","358852","365266","341790","415691","433164","416716","423118","381138","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Solar ","","Notes","0","0","0","0","66","90","0","0","7914","14264","36411","56518","95580","207410","402119","593229","696057","851458","1007331","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Biofuels ","","Notes","0","0","0","0","0","257","409","323","433","1539","4877","3160","59254","22607","29789","37093","53412","38475","55982","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","Missing","","Notes","642000.0","681000.0","615000.0","519000.0","650600.0","700100.0","2132.0","3693.0","0.0","0.0","0.0","0.0","1468.0","23.0","12497.0","22342.0","82594.0","146801.0","164862.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","","","Total","","Notes","642000","681000","615000","519000","676156","737938","716032","865135","944509","977599","964817","951418","1189273","1330298","1718567","2004168","2198799","2466023","2525836","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Line Graph Input Final","","","Hydro","","Notes","0.0","0.0","0.0","0.0","0.00249565096838","0.00355816596764","0.0144305214552","0.016241531816","0.0129783947157","0.00744931801734","0.0105247456842","0.00698446418812","0.00905327256635","0.0107870417727","0.00773666662772","0.00908404125549","0.0113695623277","0.00962655406803","0.00668160394836","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Geothermal","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0209136620627","0.0200047917138","0.021668027356","0.0225036223366","0.0165111455232","0.0200866992266","0.0233188624613","0.0276200473112","0.0296197522974","0.0271127471065","0.0245505814726","0.0280163883098","0.0353136560973","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Wind ","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.000662423685243","0.00773770245533","0.0228362166569","0.0227877817778","0.0246650944112","0.0260273051248","0.0344793890195","0.0402790368204","0.0529995239444","0.0614349140766","0.065268790496","0.070729004915","0.0583298332631","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Biomass ","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0315124410265","0.0372730789007","0.0307120735567","0.0396227161609","0.0392855334303","0.0357570289298","0.0365709239598","0.0354584912915","0.043752383304","0.0460510690541","0.0443854318269","0.0455728912825","0.0417203991755","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Solar ","","Notes","0.0","0.0","0.0","0.0","6.46186598325e-06","8.54164831794e-06","0.0","0.0","0.000745568558675","0.00136980407884","0.00358722914504","0.00563161348148","0.0095695983532","0.0215174395938","0.0423239007384","0.0630680980965","0.0741387192264","0.0917082300106","0.110265183272","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Biofuels ","","Notes","0.0","0.0","0.0","0.0","0.0","2.43911513079e-05","3.87044696092e-05","3.0478998696e-05","4.0792416718e-05","0.000147793639745","0.000480484373962","0.000314871343669","0.00593259029944","0.00234532933271","0.00313535714327","0.00394347707663","0.00568904166084","0.00414403781474","0.00612794155041","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","","","Missing","","Notes","0.056274378442","0.0700278743846","0.0626668696462","0.0519174910027","0.0636983334652","0.0664445331932","0.000201755328134","0.000348479697165","0.0","0.0","0.0","0.0","0.000146978137503","2.3861005287e-06","0.00131533647385","0.00237525044742","0.00879728725634","0.0158115372382","0.018046241647","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
