"Metric 14:","","","","","Notes","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Graph Input","Percent of 1990 levels","   Commercial Energy Sector","","","Notes","0.754428115757","0.435180378659","0.920871969121","0.333504956037","0.513715698311","0.318295103552","0.244290997409","0.308009057718","1.09369768532","0.271809618867","0.276368189536","0.238391988962","0.311461404012","0.280210611592","0.328959236324","0.331483680291","0.334296256096","0.278639192252","0.291777245057","0.344969714212","0.341097090769","0.377498808794","0.353668764739","0.357158249275","0.385683737172","0.434303586484","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Total Emissions (MMTCO2E)","   Industrial Energy Sector","","","Notes","2.10709219591","2.01096927861","1.97119231214","1.82988961824","2.02546317645","1.97665901454","2.07803707068","1.96398271466","1.47468626183","1.30684927993","1.33568154867","1.3344681922","1.5021531895","1.52820899929","1.52251436704","1.77541339124","1.80521475539","1.63628937096","1.43078452999","1.4121559456","1.40088814657","1.44266156209","1.42306712064","1.35532851396","1.3006233405","1.35171410019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Total Emissions (MMTCO2E)","   Residential Energy Sector","","","Notes","0.0456336688721","0.0451296345613","0.074969711129","0.0413900137658","0.0423649906708","0.0416641679553","0.0415642015681","0.0492828747902","0.0891578162787","0.0629892925889","0.0758022324814","0.0762450327054","0.0771355434496","0.0645523054587","0.0645690261298","0.0644251804163","0.0669868948928","0.058944768794","0.0918702240999","0.0859343526633","0.0847729324443","0.0791455178818","0.105293392485","0.0835320479481","0.0790061739394","0.0594389886288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Percent Progress","   Transportation Sector","","","Notes","11.1255441285","10.8803386157","10.3854658306","9.35392553382","10.0488679543","9.8987651366","8.73583084887","8.41524357797","8.22390456965","8.86647245984","9.02560933477","9.53964186503","10.1174181119","11.7592307182","12.4324739147","12.8325472042","13.0155001137","14.0239542737","9.63270165903","9.35035371615","9.65540849001","10.1913996309","10.0513441502","10.003488353","10.0176486428","10.2047576175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","   Electric Power Sector","","","Notes","7.31298102704","6.0292140767","6.97813738834","7.00157536793","7.23181126266","7.49855943117","7.77006914437","7.70759191408","7.53471297483","7.63209057043","7.75086800802","7.74612804727","8.31697070339","7.63059022078","7.90738279231","7.84488466314","7.81924253169","7.79978223264","7.5981919402","7.40775846678","7.30548220131","7.1749466178","6.84223418535","6.52842295652","6.48512294236","6.38117018798","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","Total","","","Notes","21.3456791361","19.4008319842","20.3306372113","18.5602854898","19.8622230824","19.7339428538","18.8697922629","18.4441101392","18.4161593079","18.1402112217","18.4643293135","18.9348751262","20.3251389523","21.2627928553","22.2558993366","22.8487541193","23.0412405518","23.7976098383","19.0453255984","18.6011721954","18.7876488611","19.2656521375","18.7756076135","18.3279301207","18.2680848368","18.4313844808","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Graph Input","Percent of 1990 levels","   Commercial Energy Sector","","","Notes","","","1.52136267238","3.52891982018","0.428132161685","-0.811842599698","-0.169682422729","0.124903791583","1.75998003099","2.42252220708","0.00944549514446","-0.0794381592998","0.14159747982","-0.0705488507181","0.102798028972","0.00593332224525","0.00664998890907","-0.13247522787","0.0276131960118","0.114973239053","-0.00945791667331","0.0880691644816","-0.0632215208921","0.00870718182155","0.0718038046772","0.131852448839","-1.35667075394","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0"
"","Total Emissions (MMTCO2E)","   Industrial Energy Sector","","","Notes","","","-0.41381355859","-1.03975581126","0.705525756123","-0.597877595895","0.777241305281","-3.92544706372","-3.41903589166","-0.265394381766","0.03602939578","-0.00157290604471","0.217033118949","0.0430717965182","-0.00983727336231","0.432618227566","0.0898500710036","-0.559582670832","-0.436498742317","-0.0275445412328","-0.0162141477365","0.059152047569","-0.0294905750166","-0.0990294203078","-0.0727691091941","0.0633511875223","-1.78945366281","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0"
"","Total Emissions (MMTCO2E)","   Residential Energy Sector","","","Notes","","","59.2024708007","1.14465670144","0.229749327072","-0.214405540203","-0.0251836161007","1.89672815764","-10.9270187497","0.601241500387","-0.738258682118","-0.0146775375101","-0.0290908549207","0.39944410165","-0.000883820090495","0.00759667280328","-0.136322959996","0.376623470899","-2.47353378001","0.128380486119","0.0288188712881","0.143779265344","-0.780257591744","0.364757716246","0.119421308221","0.586326536505","4.30551335835","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0"
"","","   Transportation Sector","","","Notes","","","-2.01819599996","-1.39382589613","0.39226412647","-0.139413150673","-0.947957452327","-0.134153027325","-0.0705969706137","0.221449934479","0.0704434822222","0.244784996084","0.364320210759","1.62857874836","-1.06242298234","-0.306116896045","-0.107177844085","-0.533586055917","1.51505563212","-0.189134452331","0.171843410001","0.364586182973","-0.149929139507","-0.0445501751692","0.0126199517967","0.168886846381","-11.0826532487","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0","-0.0"
