"Metric 15:","","","","","Notes","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"AnChangeSolar Thermal and Photovoltaic","Annual Change in MW","","Unit","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Solar Thermal and Photovoltaic","","MW","","Notes","0","0","0","0","0","1.8","0.6","2.844","8.925","12.27","17.166","39.54","98.252","94.803","-244.0","12.0","-44.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Annual Change in MW","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AnChange","Annual Change in MW","","Unit","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AnChangeAll Renewables","All Renewables","","MW","","Notes","0","-6","-42","2","0","3.8","32.6","23.844","8.925","125.27","15.166","72.04","223.352","128.403","-248.0","15.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AnChangeGeothermal","Geothermal","","MW","","Notes","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AnChangeHydroelectric","Hydroelectric","","MW","","Notes","0","-1","-1","-2","0","2","0","0","0","0","0","-0.1","1.3","0.0","0.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AnChangeOther Biomass","Other Biomass","","MW","","Notes","0","-4","-41","4","0","0","0","0","0","113","0","-0.2","0.0","33.6","-4.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AnChangeOther Gases","Other Gases","","MW","","Notes","0","0","0","0","0","0","0","0","0","0","0","3.2","-6.2","0","0","3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AnChangeSolar Thermal and Photovoltaic","Solar Thermal and Photovoltaic","","MW","","Notes","0","0","0","0","0","1.8","0.6","2.844","8.925","12.27","17.166","39.54","98.252","94.803","-244.0","12.0","-44.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AnChangeWind","Wind","","MW","","Notes","0","-1","0","0","0","0","32","21","0","0","-2","29.6","114.0","0.0","0.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
