"Metric 1: (UNUSED)","","","","","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Fuel Energy Burn Content","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009","2010","2011","2012","2013","","","","","","","","","","","","","","","","",""
"Residential","All Fuels","0","Billion Btu","","Notes","100","131","174","167","178","196","222","296","337","710","769","902","823","849","821","549","861","905","852","1273","2102","1933","1835","1920","1235","849","795","838","844","849","824","814","1297","752","770","758","755","873","1525","1097","1304","1312","1329","1124","1122","1119","1158","1026","1556","1465","1447","1363","1755","1423","1405","1068","1250","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Commercial","All Fuels","0","Billion Btu","","Notes","1115","1344","1350","1327","1509","1460","1623","1686","1970","2893","3701","3190","2943","2993","2579","2257","3106","3581","3444","4279","5618","4374","3958","3753","2676","3449","4060","5455","17216","15046","10872","6614","13210","5190","7608","4995","3994","4771","15423","4349","4464","3944","4938","4463","5142","5186","5226","4454","4731","5532","5475","6064","5661","5719","6277","7053","6704","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Industrial","All Fuels","0","Billion Btu","","Notes","14259","18832","19272","18899","19114","21350","21441","24359","22414","22181","22913","20137","22688","22997","21576","21254","20821","21423","20357","26004","28689","26010","33360","17530","16534","19646","26371","26640","31656","28028","32599","31443","31756","31825","35521","35417","36272","32315","25965","23650","25095","23583","23261","24005","23877","27869","27281","25135","22884","27470","27392","27379","25104","26102","25114","25324","23123","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Ground/Water Transportation","All Fuels","-","Billion Btu","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Air Transportation","All Fuels","0","Billion Btu","","Notes","36845","42029","35366","39142","40632","45356","57240","69630","78654","79756","80732","92240","91983","93526","84255","84047","80489","84361","84288","86682","80248","57086","42326","63258","73364","75220","58370","65645","68594","75863","72426","63877","57730","51411","54766","57458","58027","58564","57235","54014","53737","50681","57863","72133","76058","93055","87153","72535","60819","52897","55963","62253","64290","64337","73410","76140","74332","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Power","All Fuels","0","Billion Btu","","Notes","17311.0","19176.0","21192.0","24002.0","26402.0","27339.0","29374.0","31040.0","34422.0","38192.0","42693.0","47354.0","53667.0","55121.0","56955.0","58328.0","61952.0","64752.0","66553.0","67498.0","69543.0","69597.0","66332.0","68080.0","69697.0","69102.0","72389.0","76184.0","81422.0","85381.0","97627.0","80476.0","91746.0","89911.0","92946.0","95994.0","99381.0","98532.0","97123.0","98384.0","99864.0","99767.0","107409.0","97945.0","101653.0","101199.0","100996.0","100523.0","97712.0","95354.0","93851.7369502","92574.9683266","87897.7199705","84116.9613146","83122.279194","82182.0063804","81392.4631696","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"All Sectors","All Fuels","0","Billion Btu","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Sectors","All Fuels","0","Billion Btu","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
