"Metric 1: (UNUSED)","","","","","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Fuel Energy Burn Content","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009","2010","2011","2012","2013","","","","","","","","","","","","","","","","",""
"Residential","All Fuels","0","Billion Btu","","Notes","100","131","174","167","178","196","222","296","337","710","769","902","823","849","821","549","861","905","852","1273","2102","1933","1835","1920","1235","849","795","838","844","849","824","814","1297","752","770","758","755","873","1525","1097","1304","1312","1329","1124","1122","1119","1158","1026","1556","1465","1448","1389","1777","1437","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Commercial","All Fuels","0","Billion Btu","","Notes","1115","1344","1350","1327","1509","1460","1623","1686","1970","2893","3701","3190","2943","2993","2579","2257","3106","3581","3444","4279","5618","4374","3958","3753","2676","3449","4060","5455","17216","15046","10872","6614","13210","5190","7610","4997","3996","4773","15424","4351","4465","3944","4940","4465","5145","5189","5235","4467","4742","5545","5496","6151","5695","5758","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Industrial","All Fuels","0","Billion Btu","","Notes","14259","18832","19272","18899","19114","21350","21441","24359","22414","22181","22913","20137","22688","22997","21576","21254","20821","21423","20357","26004","28689","26010","33360","17530","16534","19646","26371","26640","31656","28028","32599","31443","31756","31830","35524","35419","36273","32318","25968","23652","25098","23585","23263","24008","23780","27775","27199","25075","22844","23776","23042","23376","22971","21933","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Ground/Water Transportation","All Fuels","-","Billion Btu","","Notes","24933.0","32002.0","30740.0","30324.0","34218.0","33623.0","34296.0","35467.0","43348.0","45385.0","44612.0","46593.0","44493.0","47328.0","44405.0","46496.0","51195.0","56985.0","60342.0","69677.0","66464.0","67002.0","59867.0","54615.0","55987.0","67669.0","68703.0","58492.0","72349.0","78634.0","82119.0","87324.0","86396.0","78993.0","85261.0","80698.0","63561.0","58697.0","57371.0","69067.0","71451.0","81332.0","82298.0","90793.0","96078.0","86323.0","94491.0","122790.0","76780.0","81437.0","81926.6784947","84200.2946214","77979.4355195","77127.6193844","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Air Transportation","All Fuels","0","Billion Btu","","Notes","36845","42029","35366","39142","40632","45356","57240","69630","78654","79756","80732","92240","91983","93526","84255","84047","80489","84361","84288","86682","80248","57086","42326","63258","73364","75220","58370","65645","68594","75863","72426","63877","57730","51411","54766","57458","58027","58564","57235","54014","53737","50681","57863","72133","76058","93055","87153","72535","60819","52897","55963","62253","64290","64337","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Power","All Fuels","0","Billion Btu","","Notes","17311.0","19176.0","21192.0","24002.0","26402.0","27339.0","29374.0","31040.0","34422.0","38192.0","42693.0","47354.0","53667.0","55121.0","56955.0","58328.0","61952.0","64752.0","66553.0","67498.0","69543.0","69597.0","66332.0","68080.0","69697.0","69102.0","72389.0","76184.0","81422.0","85381.0","97627.0","80476.0","91746.0","89911.0","92956.0","96005.0","99393.0","98544.0","97137.0","98399.0","99881.0","99784.0","107433.0","99171.0","103010.0","102667.0","102474.0","102518.0","99874.0","97329.0","93959.7369502","92689.9683266","87904.7199705","84127.9613146","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"All Sectors","All Fuels","0","Billion Btu","","Notes","94563.0","113514.0","108094.0","113861.0","122053.0","129324.0","144196.0","162478.0","181145.0","189117.0","195420.0","210416.0","216597.0","222814.0","210591.0","212931.0","218424.0","232007.0","235836.0","255413.0","252664.0","226002.0","207678.0","209156.0","219493.0","235935.0","230688.0","233254.0","272081.0","283801.0","296467.0","270548.0","282135.0","258087.0","276887.0","275335.0","262005.0","253769.0","254660.0","250580.0","255936.0","260638.0","277126.0","291694.0","305193.0","316128.0","317710.0","328411.0","266615.0","262449.0","261835.415445","270059.262948","260617.15549","254720.580699","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All Sectors","All Fuels","0","Billion Btu","","Notes","94563.0","113514.0","108094.0","113861.0","122053.0","129324.0","144196.0","162478.0","181145.0","189117.0","195420.0","210416.0","216597.0","222814.0","210591.0","212931.0","218424.0","232007.0","235836.0","255413.0","252664.0","226002.0","207678.0","209156.0","219493.0","235935.0","230688.0","233254.0","272081.0","283801.0","296467.0","270548.0","282135.0","258087.0","276887.0","275335.0","262005.0","253769.0","254660.0","250580.0","255936.0","260638.0","277126.0","291694.0","305193.0","316128.0","317710.0","328411.0","266615.0","262449.0","261835.415445","270059.262948","260617.15549","254720.580699","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
