"Metric 2: Expenditures on fuel imports to Hawai‘i","","","","","Notes","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Graph Titles","2010","Expenditures on     Residual Fuel Oil (Foreign)","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Expenditures per Fuel Source in 2010","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Graph Inputs (Bottom Line)","","Expenditures on All fuel Purchases","","Dollars (Millions)","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","4049.645982","4778.1203295","2829.924304","3832.72952","5336.885119","4998.609468","4884.764362","4235.843874","2328.028088","1899.23123867","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Graph Inputs (Top Line)","","    Residual Fuel Oil (Foreign)","","Dollars (Millions)","Notes","0.0","48.997662","28.029582","15.601992","1.3818","0.0","2.7804","15.213618","13.356336","16.721166","19.462212","19.921566","0.0","0.0","0.0","0.0","15.154608","28.199052","29.491896","17.793888","3.033576","20.320146","0.0","7.217112","161.245728","47.909316","30.005052","31.052742","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","","","Notes","#N/A","48.997662","28.029582","15.601992","1.3818","#N/A","2.7804","15.213618","13.356336","16.721166","19.462212","19.921566","#N/A","#N/A","#N/A","#N/A","15.154608","28.199052","29.491896","17.793888","3.033576","20.320146","#N/A","7.217112","161.245728","47.909316","30.005052","31.052742","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Graph Inputs (Top Line)","","    Crude Oil (Foreign)","","Dollars (Millions)","Notes","3370999820.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","    Jet Fuel, Kerosene Type (Foreign)","","Dollars (Millions)","Notes","341916834.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","    Residual Fuel Oil (Foreign)","","Dollars (Millions)","Notes","20320146.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","    Others (Foreign)","","Dollars (Millions)","Notes","47614938.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Biofuels (Foreign)","","Dollars (Millions)","Notes","1698101.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","    Ethanol (Foreign)","","Dollars (Millions)","Notes","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","    Biodiesel (Foreign)","","Dollars (Millions)","Notes","1698101.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Coal (Foreign)","","Dollars (Millions)","Notes","48481580.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Petroleum (Domestic)","","Dollars (Millions)","Notes","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","  Coal (Domestic)","","Dollars (Millions)","Notes","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
