"Metric 3: Carbon content of Hawai'i fossil fuel use","","","","","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"","Total","","","","Notes","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Graph Inputs: Life Cycle Analysis Comparison","All Sectors All Fuels excluding life-cycle","All Sectors","All Fuels","","Notes","6870912646.72","8260264966.43","7873834587.36","8296562635.21","8900883954.61","9426674001.44","10502457100.1","11833488163.4","13195001732.6","13776677023.4","14232437370.8","15321026881.4","15774279345.2","16225661816.9","15338566383.8","15508544699.8","15916101910.9","16910199568.0","17191375634.7","18636433952.6","18386246499.1","16463426515.6","15152575317.7","15221018549.8","15976968941.1","17187992042.1","16807821566.3","16998617385.9","19857170686.9","20696591801.9","21638946748.2","19739760856.6","20722648497.5","19129855757.7","20508460383.0","20475429381.9","19493217363.6","18897064228.8","18916544515.1","18617606357.2","19005506117.6","19355087712.4","20531531764.0","21636160824.7","22626616698.7","23372749532.1","23484860780.2","24340246781.5","19817465317.5","19497389530.4","19416539486.0","19933990537.2","19263637077.6","18790093682.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","All Sectors All Fuels including life-cycle","All Sectors","All Fuels","","Notes","8582726334.4","10319223535.6","9829668923.21","10331196829.9","11070693758.3","11719783718.8","13037078560.3","14653634437.9","16328783975.8","17060718283.3","17631971613.8","18959625679.4","19531578349.5","20097271481.8","19012431983.5","19229175845.7","19754311032.6","20985283217.8","21337568846.6","23147383794.8","22929882298.3","20577598260.5","18975107590.8","19005447124.1","19891347505.6","21405998631.5","21005373279.0","21220239020.5","24795534373.2","25835254346.0","27026575256.9","24671246738.2","25846983162.1","23750987968.8","25480055860.3","25366392745.0","24139008885.9","23367668086.4","23429426793.0","23061928398.2","23558275402.0","24009994344.8","25475343974.8","26778263674.8","28005317101.4","28960747702.8","29133204075.0","30228419438.5","24644942994.8","24305446992.5","24247046195.3","24934182544.9","24015838891.1","23450898970.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","Total","Total","","Notes","8582726334.4","10319223535.6","9829668923.21","10331196829.9","11070693758.3","11719783718.8","13037078560.3","14653634437.9","16328783975.8","17060718283.3","17631971613.8","18959625679.4","19531578349.5","20097271481.8","19012431983.5","19229175845.7","19754311032.6","20985283217.8","21337568846.6","23147383794.8","22929882298.3","20577598260.5","18975107590.8","19005447124.1","19891347505.6","21405998631.5","21005373279.0","21220239020.5","24795534373.2","25835254346.0","27026575256.9","24671246738.2","25846983162.1","23750987968.8","25480055860.3","25366392745.0","24139008885.9","23367668086.4","23429426793.0","23061928398.2","23558275402.0","24009994344.8","25475343974.8","26778263674.8","28005317101.4","28960747702.8","29133204075.0","30228419438.5","24644942994.8","24305446992.5","24247046195.3","24934182544.9","24015838891.1","23450898970.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","pre life cycle input","","Notes","6870912646.72","8260264966.43","7873834587.36","8296562635.21","8900883954.61","9426674001.44","10502457100.1","11833488163.4","13195001732.6","13776677023.4","14232437370.8","15321026881.4","15774279345.2","16225661816.9","15338566383.8","15508544699.8","15916101910.9","16910199568.0","17191375634.7","18636433952.6","18386246499.1","16463426515.6","15152575317.7","15221018549.8","15976968941.1","17187992042.1","16807821566.3","16998617385.9","19857170686.9","20696591801.9","21638946748.2","19739760856.6","20722648497.5","19129855757.7","20508460383.0","20475429381.9","19493217363.6","18897064228.8","18916544515.1","18617606357.2","19005506117.6","19355087712.4","20531531764.0","21636160824.7","22626616698.7","23372749532.1","23484860780.2","24340246781.5","19817465317.5","19497389530.4","19416539486.0","19933990537.2","19263637077.6","18790093682.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","post life cycle input","","Notes","8582726334.4","10319223535.6","9829668923.21","10331196829.9","11070693758.3","11719783718.8","13037078560.3","14653634437.9","16328783975.8","17060718283.3","17631971613.8","18959625679.4","19531578349.5","20097271481.8","19012431983.5","19229175845.7","19754311032.6","20985283217.8","21337568846.6","23147383794.8","22929882298.3","20577598260.5","18975107590.8","19005447124.1","19891347505.6","21405998631.5","21005373279.0","21220239020.5","24795534373.2","25835254346.0","27026575256.9","24671246738.2","25846983162.1","23750987968.8","25480055860.3","25366392745.0","24139008885.9","23367668086.4","23429426793.0","23061928398.2","23558275402.0","24009994344.8","25475343974.8","26778263674.8","28005317101.4","28960747702.8","29133204075.0","30228419438.5","24644942994.8","24305446992.5","24247046195.3","24934182544.9","24015838891.1","23450898970.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"Graph Inputs: Column Chart","All Sectors All Fuels","All Sectors","All Fuels","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","2013","Total","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Residential","","Notes","0","0","9441.23298824","12367.269927","16336.1965429","15861.9774821","16806.4930376","18506.6210374","20960.4001984","27951.7765917","31822.3290859","67048.8367375","72617.5559485","85089.0838463","77721.8625139","80272.0545136","77442.4304133","51846.0588611","81314.9441906","85374.3997959","80460.9576246","120213.29481","196490.920293","180719.526515","171552.602659","179628.327303","114941.952199","79177.1565429","74142.953088","78201.3868653","78794.0871164","79275.5992088","76921.7680979","76001.1174312","121616.744092","70122.9947734","71802.7107231","70678.2413898","70362.8333814","81655.3250356","143191.970755","102786.095205","122325.634758","123085.721869","124670.516536","105321.371649","105246.310316","104891.347154","108529.213837","96082.4902827","146132.173052","137455.172349","135974.858261","130432.047595","167090.161762","134759.873767","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
"","","","Commercial","","Notes","0","0","102233.270996","123035.420536","123667.055804","121891.583895","138349.969268","134053.470024","149218.806749","155304.517594","181925.605577","268186.929787","341076.38135","295934.194401","273074.912905","278053.670913","239623.847164","208426.988208","286596.454295","329731.379787","317229.964219","398777.971487","522233.440276","407039.979987","368463.372192","349834.656282","248355.841619","319988.608239","376631.520179","505798.193432","1593655.88672","1393128.42441","1006893.80253","613052.747666","1224703.76471","481458.442902","705341.283471","463636.869272","371058.981537","443301.988641","1430447.41625","404869.834421","416151.000226","367980.786993","459931.091274","415552.864732","478508.288647","482619.148871","486917.484106","415630.845114","442393.202713","517591.232405","513012.583477","574565.244394","531784.035388","538022.01232","#N/A","#N/A","#N/A","#N/A","#N/A","","","","","","","","","",""
