"Metric 4: Cost Annual Consumption Data","","","","","Notes","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Graph Input","Residential","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Commercial","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Industrial (Excl Refineries)","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Ground and Water Transportation","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Air Transportation","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Power","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","All Sectors","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"Graph Input","Electricity","","","","Notes","553.143361","704.3716","676.780225","1128.153744","1437.243921","1786.076644","2783.090025","4526.194729","5998.657401","6231.365721","6409.6036","8377.923961","8328.570121","8622.9796","6994.478689","6966.239296","6373.467556","6991.969924","6985.282084","7380.871744","6279.611536","3153.047104","1733.223424","3902.625841","5274.971641","5540.718096","3244.669444","4145.556996","4512.346276","5537.443396","5048.244601","3913.378249","3192.363001","2541.067281","2884.227025","3176.224164","3271.153636","3358.782025","3214.323025","2885.8384","2863.427121","2543.890969","3337.835076","5192.067136","5754.891321","8400.639025","23.5070958584","66.0083137322","81.3462340129","74.5741837408","32.8735982287","79.2144837241","58.9670442732","78.9903292131","49.7254249198","45.8411251833","39.8701736989","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Gasoline","","","","Notes","24.433249","89.283601","85.951441","58.079641","98.346889","81.649296","58.415449","44.023225","61.214976","77.986561","86.769225","87.703225","77.2641","85.914361","86.750596","78.304801","121.198081","181.953121","264.3876","1130.506129","882.387025","932.203024","526.840209","95.609284","123.632161","483.252289","490.932649","232.135696","644.296689","631.617424","741.690756","1026.625681","555.356356","479.566201","584.333929","433.180969","233.722944","185.068816","140.564736","257.666704","182.088036","317.980224","568.917904","1182.053161","1279.421361","755.095441","64.9960965545","87.3781211833","132.489589034","118.986950066","26.5001277931","81.4464863903","43.0464188763","17.5355211849","52.355826192","85.3496228875","65.2782125501","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Jet Fuel","","","","Notes","165.585424","335.549124","276.623424","280.160644","314.3529","341.1409","402.162916","615.04","742.5625","651.423529","471.107025","420.865225","367.450561","364.122724","225.690529","222.845184","233.692369","333.354564","285.812836","185.7769","345.625281","312.547041","430.936081","145.515969","242.144721","330.1489","505.260484","240.653169","1054.235961","1028.228356","1078.005889","767.234601","1502.027536","553.990369","819.276129","560.032225","110.439081","71.503936","226.2016","165.533956","282.206401","282.004849","140.1856","64.496961","141.514816","143.496441","60.1687672393","111.609693452","138.309945889","73.5580711618","30.1640740019","66.0801915235","27.2277128703","23.2862953086","81.6039350287","64.9035913045","55.5446262008","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Diesel","","","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","16.309899281","56.8102671059","49.7928660638","37.8788123855","14.0488129407","36.808041904","11.22397198","5.54078010952","8.26557894652","24.7534093509","17.7032993666","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Fuel Oil","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.090225","7.7284","7.689529","7.4529","5.943844","7.219969","7.150276","7.767369","7.929856","8.462281","8.898289","8.462281","8.363664","8.105409","8.5264","8.444836","7.980625","7.230721","7.856809","8.328996","8.850625","8.5264","8.398404","8.185321","8.450649","8.398404","22.0111151338","19.2438644862","29.3317246015","5.13604965651","10.5089538994","13.339463576","9.08743261264","10.5696540124","7.43323174662","3.95553340995","6.08032050596","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","LPG","","","","Notes","553.143361","704.3716","676.780225","1128.153744","1437.243921","1786.076644","2783.090025","4526.194729","5998.657401","6231.365721","6409.6036","8377.923961","8328.570121","8622.9796","6994.478689","6966.239296","6373.467556","6991.969924","6985.282084","7380.871744","6279.611536","3154.507225","1733.473225","3902.625841","5274.971641","5540.718096","3244.669444","4145.556996","4512.346276","5537.443396","5048.244601","3913.378249","3192.363001","2541.067281","2884.227025","3176.224164","3271.153636","3358.782025","3214.323025","2885.8384","2863.427121","2543.890969","3337.835076","5192.067136","5754.891321","8617.594561","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","SNG","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.000196","9e-06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.420864","1.58526744848","3.34174468171","4.70137220029","4.33215643349","1.40882730935","3.95083513663","1.69518392319","0.918168316134","1.82604060983","4.12637257021","3.2785159245","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Biodiesel","","","","Notes","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","2.31340078057","2.60254427131","1.60059946286","2.99543804275","1.91829390231","1.81046308091","1.25891527763","2.16774561956","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","Ethanol","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.73785099908","3.29001678408","7.31946858281","7.53897633313","2.07110111032","4.64611690777","2.17048187706","1.24831527713","5.89580678581","11.086218818","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","All Fuels","","","","Notes","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
