"Metric 15: MW of renewable energy projects installed (since benchmark date) and “in pipeline”","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73"
"","","","","","","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Total MW of Renewable Energy Installed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total","Total MW of Renewable Energy Installed","","Unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TotalAll Renewables","All Renewables","","MW","","","238","232","190","192","192","195.8","228.4","252.244","261.169","386.439","401.605","473.645","696.997","825.4","577.4","592.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"TotalGeothermal","Geothermal","","MW","","","35","35","35","35","35","35","35","35","35","35","35","35","51","51","51","51","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"TotalHydroelectric","Hydroelectric","","MW","","","27","26","25","23","23","25","25","25","25","25","25","24.9","26.2","26.2","26.2","26.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"TotalOther Biomass","Other Biomass","","MW","","","155","151","110","114","114","114","114","114","114","227","227","226.8","226.8","260.4","256.4","256.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"TotalOther Gases","Other Gases","","MW","","","9","9","9","9","9","9","9","9","9","9","9","12.2","6","6","6","9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"TotalSolar Thermal and Photovoltaic","Solar Thermal and Photovoltaic","","MW","","","0","0","0","0","0","1.8","2.4","5.244","14.169","26.439","43.605","83.145","181.397","276.2","32.2","44.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TotalWind","Wind","","MW","","","12","11","11","11","11","11","43","64","64","64","62","91.6","205.6","205.6","205.6","205.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73"
"Change in MW since benchmark (2000)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change","Change in MW since benchmark (2000)","","Unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ChangeAll Renewables","All Renewables","","MW","","","0","-6","-48","-46","-46","-42.2","-9.6","14.244","23.169","148.439","163.605","235.645","458.997","587.4","339.4","354.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ChangeGeothermal","Geothermal","","MW","","","0","0","0","0","0","0","0","0","0","0","0","0","16","16","16","16","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ChangeHydroelectric","Hydroelectric","","MW","","","0","-1","-2","-4","-4","-2","-2","-2","-2","-2","-2","-2.1","-0.8","-0.8","-0.8","-0.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
