"Metric 16: MWh and MWh per year energy savings from energy efficiency programs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://puc.hawaii.gov/reports/puc-annual-reports ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q: Use displacement technolgoies too?","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","",""
"http://www.eia.gov/electricity/data/state/annual_generation_state.xls","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","",""
"","","","Units","Source","Notes","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"TEusy - Total Energy source 's' sold by utilitiy 'u' in year 'y'","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECOTotal Renewable","Total Renewable","HECO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf
www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf
 http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf  ","","8998000","7212000","7277000","7390000","7522000","7733000","7721000","7701000","7675000","7555962","7377537","7277229","7242311","6975996","6858536","6781665","6754083","6660195","6548697","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HELCOTotal Renewable","Total Renewable","HELCO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf
www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf
 http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf  ","","922000","954000","959000","995000","1046000","1083000","1117000","1149000","1163000","1141030","1119881","1109783","1103572","1085171","1076104","1062521","1064785","1067398","1046950","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MECOTotal Renewable","Total Renewable","MECO","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2006_RPS_Report_to_PUC_Filed_wo_Cover_Ltr.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2007_RPs_Report-to-PUC_draft_080530_FINAL.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/HECO_RPS_2008_Status_Report.pdf
www.heco.com/vcmcontent/StaticFiles/pdf/2009_rps.pdf
http://www.heco.com/vcmcontent/StaticFiles/pdf/2010_rps.pdf
 http://www.heco.com/vcmcontent/StaticFiles/pdf/2012-05-04_RPS%20Report_2011.pdf  ","","1065000","1106000","1134000","1159000","1207000","1247000","1252000","1266000","1280000","1239228","1192243","1191559","1181026","1144832","1134873","1132056","1137630","1117742","1094786","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KIUCTotal Renewable","Total Renewable","KIUC","MWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","423389","452699","443798","452631","438768","473608","477255","481461","496718","476948","460513","457274","460971","433159","431478","429924","432078","439088","445098","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TotalTotal Renewable","Total Renewable","Total","MWh","","","11408389","9724699","9813798","9996631","10213768","10536608","10567255","10597461","10614718","10413168","10150174","10035845","9987880","9639158","9500991","9406166","9388576","9284423","9135531","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REu,s,y Aggregate renewable electricity sold from source s by utility u in year y ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","HECO","MWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
