"Metric 4: Cost Annual Consumption Data","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73"
"","","","","","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27"
"","","","","Source","","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Variable EC(c,s,y): Consumption by Year, Sector, and Fuel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Residential","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Electricity","ESRCB","Billion Btu","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","1754","1966","2194","2497","2688","2938","3121","3389","3758","4050","4384","4745","5155","5456","5646","5674","5925","6005","6070","6299","6281","6565","6284","6327","6270","6411","6695","7072","7341","7650","7929","8174","8320","8423","8724","8893","9130","9103","9010","9175","9433","9562","9889","10330","10789","10796","10858","10921","10527","10425","10200","9993","9346","8901","8816","9012","8911","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Gasoline","-","-","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Jet Fuel","-","-","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Diesel","DFRCB","Billion Btu","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","2","3","2","3","3","3","4","3","4","6","8","6","6","6","4","4","4","5","6","12","6","6","0","4","4","2","4","4","9","2","2","2","2","11","10","10","1","3","2","2","2","2","2","2","2","1","19","19","30","16","1","1","0","0","0","2","0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","Fuel Oil","-","-","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
