"Metric 8: Maintaining affordability of energy costs (Alternative Calculation)","","","","","Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variable BEC(2005): Baseline Electricity Consumption in 2005","","Note: Data point taken from EIA Consumption","","","","","","","","","","Note: Results from this calculation are only valid when viewed as 'All Fuels'","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Year:","","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESTXP","Fossil-Based Electricity consumed (Million kWh)","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","9851.223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variable FC(2005,c,p): Fuel Consumed in Power Sector in 2005","","Note: Data taken from EIA Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Billion Btu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKEIB","Diesel","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","15035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFEIB","Fuel Oil","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","71070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGEIB","SNG","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLEIB","Coal","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","15095","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","All Fuels","","101200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variable HR(2005,c,p): Aggregate Sales Heat Rate for power sector by fuel in 2005","","Divide Billion Btu by Million kWh and multiply by 1,000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Btu/kWh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKEIB","Diesel","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","1526.20644158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFEIB","Fuel Oil","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","7214.33267727","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGEIB","SNG","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLEIB","Coal","http://www.eia.gov/state/seds/seds-states.cfm?q_state_a=HI&q_state=Hawaii#undefined ","1532.29705591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","All Fuels","","10272.8361748","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Variable ES(y): Electricity sales by Year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total Electricity consumed (Million kWh)","Million kWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","","9724.699","9813.798","9996.631","10213.768","10536.608","10567.255","10597.461","10614.718","10413.168","10150.174","10035.845","9987.88","9639.158","9500.991","9406.166","9388.576","9284.423","9135.531","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","Total Fossil-Based Electricity Consumed (Million kWh)","Million kWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","","9043.699","9198.798","9477.631","9537.612","9798.67","9851.223","9732.326","9670.209","9435.569","9185.357","9084.427","8798.607","8308.86","7782.424","7401.998","7189.777","6818.4","6609.695","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","  Displacement Tech: Photovoltaic Systems","Million kWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","  Displacement Tech: Solar Water Heating","Million kWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","","0.0","0.0","0.0","7.387","7.558","7.659","7.831","7.937","0.0","0.0","0.0","0.0","24.91","29.734","34.098","38.462","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"","  Energy Efficiency Technologies","Million kWh","http://puc.hawaii.gov/reports/Report%20to%20Leg.kks.2008-11-12%20puc.pdf
http://dms.puc.hawaii.gov/dms/OpenDocServlet?RT=&document_id=91+3+ICM4+LSDB15+PC_DocketReport59+26+A1001001A12D04B24000E5143818+A12D04B24000E514381+14+1960","","","0.0","0.0","0.0","0.0","0.0","418.0","476.0","598.0","730.893","789.631","899.509","1009.064","1185.26","1297.564","1394.403","1491.242","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
